instrument_code,observed_at,price_value
USD_KRW,2016-03-15,1194.35000000
EUR_KRW,2016-03-15,1326.80000000
JPY_KRW,2016-03-15,10.58390000
XAU_USD,2016-03-15,1230.40002441
XAU_KRW,2016-03-15,1469528.26915408
USD_KRW,2016-03-16,1194.85000000
EUR_KRW,2016-03-16,1321.98000000
JPY_KRW,2016-03-16,10.51860000
XAU_USD,2016-03-16,1229.30004883
XAU_KRW,2016-03-16,1468829.16334453
USD_KRW,2016-03-17,1160.68000000
EUR_KRW,2016-03-17,1312.85000000
JPY_KRW,2016-03-17,10.39630000
XAU_USD,2016-03-17,1264.50000000
XAU_KRW,2016-03-17,1467679.86000000
USD_KRW,2016-03-18,1158.00000000
EUR_KRW,2016-03-18,1306.11000000
JPY_KRW,2016-03-18,10.38330000
XAU_USD,2016-03-18,1253.80004883
XAU_KRW,2016-03-18,1451900.45654514
USD_KRW,2016-03-21,1160.54000000
EUR_KRW,2016-03-21,1308.05000000
JPY_KRW,2016-03-21,10.38630000
XAU_USD,2016-03-21,1243.80004883
XAU_KRW,2016-03-21,1443479.70866917
USD_KRW,2016-03-22,1161.30000000
EUR_KRW,2016-03-22,1302.05000000
JPY_KRW,2016-03-22,10.40560000
XAU_USD,2016-03-22,1248.19995117
XAU_KRW,2016-03-22,1449534.60329372
USD_KRW,2016-03-23,1164.25000000
EUR_KRW,2016-03-23,1300.58000000
JPY_KRW,2016-03-23,10.32120000
XAU_USD,2016-03-23,1223.69995117
XAU_KRW,2016-03-23,1424692.66814967
USD_KRW,2016-03-24,1167.48000000
EUR_KRW,2016-03-24,1302.21000000
JPY_KRW,2016-03-24,10.38360000
XAU_USD,2016-03-24,1221.40002441
XAU_KRW,2016-03-24,1425960.10049819
XAU_USD,2016-03-28,1219.90002441
XAU_KRW,2016-03-28,1424208.88049819
USD_KRW,2016-03-29,1167.29000000
EUR_KRW,2016-03-29,1306.67000000
JPY_KRW,2016-03-29,10.27820000
XAU_USD,2016-03-29,1235.59997559
XAU_KRW,2016-03-29,1442303.49550645
USD_KRW,2016-03-30,1142.41000000
EUR_KRW,2016-03-30,1293.67000000
JPY_KRW,2016-03-30,10.15680000
XAU_USD,2016-03-30,1226.90002441
XAU_KRW,2016-03-30,1401622.85688623
USD_KRW,2016-03-31,1137.36000000
EUR_KRW,2016-03-31,1294.88000000
JPY_KRW,2016-03-31,10.12420000
XAU_USD,2016-03-31,1234.19995117
XAU_KRW,2016-03-31,1403729.65646271
USD_KRW,2016-04-01,1150.96000000
EUR_KRW,2016-04-01,1315.78000000
JPY_KRW,2016-04-01,10.27390000
XAU_USD,2016-04-01,1222.19995117
XAU_KRW,2016-04-01,1406703.25579862
USD_KRW,2016-04-04,1149.55000000
EUR_KRW,2016-04-04,1308.19000000
JPY_KRW,2016-04-04,10.30310000
XAU_USD,2016-04-04,1218.00000000
XAU_KRW,2016-04-04,1400151.90000000
USD_KRW,2016-04-05,1158.77000000
EUR_KRW,2016-04-05,1317.17000000
JPY_KRW,2016-04-05,10.46950000
XAU_USD,2016-04-05,1228.40002441
XAU_KRW,2016-04-05,1423433.09628558
USD_KRW,2016-04-06,1162.98000000
EUR_KRW,2016-04-06,1318.35000000
JPY_KRW,2016-04-06,10.53580000
XAU_USD,2016-04-06,1222.50000000
XAU_KRW,2016-04-06,1421743.05000000
USD_KRW,2016-04-07,1159.89000000
EUR_KRW,2016-04-07,1318.10000000
JPY_KRW,2016-04-07,10.70320000
XAU_USD,2016-04-07,1236.19995117
XAU_KRW,2016-04-07,1433855.96136257
USD_KRW,2016-04-08,1153.24000000
EUR_KRW,2016-04-08,1310.43000000
JPY_KRW,2016-04-08,10.62280000
XAU_USD,2016-04-08,1242.50000000
XAU_KRW,2016-04-08,1432900.70000000
USD_KRW,2016-04-11,1147.10000000
EUR_KRW,2016-04-11,1306.55000000
JPY_KRW,2016-04-11,10.59820000
XAU_USD,2016-04-11,1256.69995117
XAU_KRW,2016-04-11,1441560.51398711
USD_KRW,2016-04-12,1143.28000000
EUR_KRW,2016-04-12,1302.88000000
JPY_KRW,2016-04-12,10.55480000
XAU_USD,2016-04-12,1259.40002441
XAU_KRW,2016-04-12,1439846.85990746
USD_KRW,2016-04-13,1149.00000000
EUR_KRW,2016-04-13,1298.14000000
JPY_KRW,2016-04-13,10.51380000
XAU_USD,2016-04-13,1246.80004883
XAU_KRW,2016-04-13,1432573.25610567
USD_KRW,2016-04-14,1154.04000000
EUR_KRW,2016-04-14,1298.53000000
JPY_KRW,2016-04-14,10.54940000
XAU_USD,2016-04-14,1225.00000000
XAU_KRW,2016-04-14,1413699.00000000
USD_KRW,2016-04-15,1147.75000000
EUR_KRW,2016-04-15,1295.12000000
JPY_KRW,2016-04-15,10.53710000
XAU_USD,2016-04-15,1233.09997559
XAU_KRW,2016-04-15,1415290.49698342
USD_KRW,2016-04-18,1149.50000000
EUR_KRW,2016-04-18,1299.62000000
JPY_KRW,2016-04-18,10.62480000
XAU_USD,2016-04-18,1233.59997559
XAU_KRW,2016-04-18,1418023.17194071
USD_KRW,2016-04-19,1126.05000000
EUR_KRW,2016-04-19,1277.28000000
JPY_KRW,2016-04-19,10.29230000
XAU_USD,2016-04-19,1253.00000000
XAU_KRW,2016-04-19,1410940.65000000
USD_KRW,2016-04-20,1129.31000000
EUR_KRW,2016-04-20,1285.04000000
JPY_KRW,2016-04-20,10.34650000
XAU_USD,2016-04-20,1253.19995117
XAU_KRW,2016-04-20,1415251.23685579
USD_KRW,2016-04-21,1132.86000000
EUR_KRW,2016-04-21,1286.36000000
JPY_KRW,2016-04-21,10.33220000
XAU_USD,2016-04-21,1249.00000000
XAU_KRW,2016-04-21,1414942.14000000
USD_KRW,2016-04-22,1143.04000000
EUR_KRW,2016-04-22,1287.41000000
JPY_KRW,2016-04-22,10.31080000
XAU_USD,2016-04-22,1228.69995117
XAU_KRW,2016-04-22,1404453.19218536
USD_KRW,2016-04-25,1146.54000000
EUR_KRW,2016-04-25,1291.46000000
JPY_KRW,2016-04-25,10.33580000
XAU_USD,2016-04-25,1238.90002441
XAU_KRW,2016-04-25,1420448.43398704
USD_KRW,2016-04-26,1151.01000000
EUR_KRW,2016-04-26,1299.14000000
JPY_KRW,2016-04-26,10.35580000
XAU_USD,2016-04-26,1242.19995117
XAU_KRW,2016-04-26,1429784.56579618
USD_KRW,2016-04-27,1149.72000000
EUR_KRW,2016-04-27,1299.53000000
JPY_KRW,2016-04-27,10.33090000
XAU_USD,2016-04-27,1249.19995117
XAU_KRW,2016-04-27,1436230.16785917
USD_KRW,2016-04-28,1140.64000000
EUR_KRW,2016-04-28,1295.54000000
JPY_KRW,2016-04-28,10.54660000
XAU_USD,2016-04-28,1265.50000000
XAU_KRW,2016-04-28,1443479.92000000
USD_KRW,2016-04-29,1141.39000000
EUR_KRW,2016-04-29,1301.53000000
JPY_KRW,2016-04-29,10.63860000
XAU_USD,2016-04-29,1289.19995117
XAU_KRW,2016-04-29,1471479.93226593
USD_KRW,2016-05-02,1137.95000000
EUR_KRW,2016-05-02,1307.85000000
JPY_KRW,2016-05-02,10.67890000
XAU_USD,2016-05-02,1294.69995117
XAU_KRW,2016-05-02,1473303.80943390
USD_KRW,2016-05-03,1144.22000000
EUR_KRW,2016-05-03,1323.75000000
JPY_KRW,2016-05-03,10.80350000
XAU_USD,2016-05-03,1290.69995117
XAU_KRW,2016-05-03,1476844.69812774
USD_KRW,2016-05-04,1163.09000000
EUR_KRW,2016-05-04,1338.14000000
JPY_KRW,2016-05-04,10.91290000
XAU_USD,2016-05-04,1273.30004883
XAU_KRW,2016-05-04,1480962.55379368
USD_KRW,2016-05-05,1166.14000000
EUR_KRW,2016-05-05,1333.95000000
JPY_KRW,2016-05-05,10.88850000
XAU_USD,2016-05-05,1271.40002441
XAU_KRW,2016-05-05,1482630.42446548
USD_KRW,2016-05-06,1172.35000000
EUR_KRW,2016-05-06,1339.64000000
JPY_KRW,2016-05-06,10.96000000
XAU_USD,2016-05-06,1292.90002441
XAU_KRW,2016-05-06,1515731.34361706
USD_KRW,2016-05-09,1173.64000000
EUR_KRW,2016-05-09,1337.36000000
JPY_KRW,2016-05-09,10.83850000
