observed_at,price_value
2016-03-15,1326.80000000
2016-03-16,1321.98000000
2016-03-17,1312.85000000
2016-03-18,1306.11000000
2016-03-21,1308.05000000
2016-03-22,1302.05000000
2016-03-23,1300.58000000
2016-03-24,1302.21000000
2016-03-29,1306.67000000
2016-03-30,1293.67000000
2016-03-31,1294.88000000
2016-04-01,1315.78000000
2016-04-04,1308.19000000
2016-04-05,1317.17000000
2016-04-06,1318.35000000
2016-04-07,1318.10000000
2016-04-08,1310.43000000
2016-04-11,1306.55000000
2016-04-12,1302.88000000
2016-04-13,1298.14000000
2016-04-14,1298.53000000
2016-04-15,1295.12000000
2016-04-18,1299.62000000
2016-04-19,1277.28000000
2016-04-20,1285.04000000
2016-04-21,1286.36000000
2016-04-22,1287.41000000
2016-04-25,1291.46000000
2016-04-26,1299.14000000
2016-04-27,1299.53000000
2016-04-28,1295.54000000
2016-04-29,1301.53000000
2016-05-02,1307.85000000
2016-05-03,1323.75000000
2016-05-04,1338.14000000
2016-05-05,1333.95000000
2016-05-06,1339.64000000
2016-05-09,1337.36000000
2016-05-10,1334.99000000
2016-05-11,1332.79000000
2016-05-12,1331.57000000
2016-05-13,1330.91000000
2016-05-16,1335.90000000
2016-05-17,1331.66000000
2016-05-18,1340.31000000
2016-05-19,1333.50000000
2016-05-20,1332.02000000
2016-05-23,1329.78000000
2016-05-24,1329.32000000
2016-05-25,1317.16000000
2016-05-26,1317.87000000
2016-05-27,1316.98000000
2016-05-30,1326.59000000
2016-05-31,1326.11000000
2016-06-01,1331.53000000
2016-06-02,1329.35000000
2016-06-03,1322.41000000
2016-06-06,1323.00000000
2016-06-07,1311.68000000
2016-06-08,1311.38000000
2016-06-09,1316.56000000
2016-06-10,1316.14000000
2016-06-13,1322.63000000
2016-06-14,1324.26000000
2016-06-15,1316.08000000
2016-06-16,1315.79000000
2016-06-17,1318.22000000
2016-06-20,1312.29000000
2016-06-21,1304.05000000
2016-06-22,1297.62000000
2016-06-23,1304.47000000
2016-06-24,1296.89000000
2016-06-27,1302.91000000
2016-06-28,1294.19000000
2016-06-29,1283.15000000
2016-06-30,1278.48000000
2016-07-01,1275.76000000
2016-07-04,1278.83000000
2016-07-05,1289.88000000
2016-07-06,1289.10000000
2016-07-07,1280.63000000
2016-07-08,1280.91000000
2016-07-11,1268.78000000
