observed_at,price_value
2016-03-15,10.58390000
2016-03-16,10.51860000
2016-03-17,10.39630000
2016-03-18,10.38330000
2016-03-21,10.38630000
2016-03-22,10.40560000
2016-03-23,10.32120000
2016-03-24,10.38360000
2016-03-29,10.27820000
2016-03-30,10.15680000
2016-03-31,10.12420000
2016-04-01,10.27390000
2016-04-04,10.30310000
2016-04-05,10.46950000
2016-04-06,10.53580000
2016-04-07,10.70320000
2016-04-08,10.62280000
2016-04-11,10.59820000
2016-04-12,10.55480000
2016-04-13,10.51380000
2016-04-14,10.54940000
2016-04-15,10.53710000
2016-04-18,10.62480000
2016-04-19,10.29230000
2016-04-20,10.34650000
2016-04-21,10.33220000
2016-04-22,10.31080000
2016-04-25,10.33580000
2016-04-26,10.35580000
2016-04-27,10.33090000
2016-04-28,10.54660000
2016-04-29,10.63860000
2016-05-02,10.67890000
2016-05-03,10.80350000
2016-05-04,10.91290000
2016-05-05,10.88850000
2016-05-06,10.96000000
2016-05-09,10.83850000
2016-05-10,10.75560000
2016-05-11,10.74050000
2016-05-12,10.69530000
2016-05-13,10.77140000
2016-05-16,10.83720000
2016-05-17,10.74530000
2016-05-18,10.86330000
2016-05-19,10.82650000
2016-05-20,10.75860000
2016-05-23,10.83770000
2016-05-24,10.84630000
2016-05-25,10.72690000
2016-05-26,10.72050000
2016-05-27,10.75440000
2016-05-30,10.71130000
2016-05-31,10.70910000
2016-06-01,10.90790000
2016-06-02,10.89990000
2016-06-03,10.88670000
2016-06-06,10.88170000
2016-06-07,10.73740000
2016-06-08,10.76930000
2016-06-09,10.90590000
2016-06-10,10.89610000
2016-06-13,11.06710000
2016-06-14,11.13010000
2016-06-15,11.03260000
2016-06-16,11.27980000
2016-06-17,11.23420000
2016-06-20,11.06760000
2016-06-21,11.01490000
2016-06-22,10.99580000
2016-06-23,10.83630000
2016-06-24,11.45360000
2016-06-27,11.65390000
2016-06-28,11.41260000
2016-06-29,11.27050000
2016-06-30,11.20980000
2016-07-01,11.16250000
2016-07-04,11.18930000
2016-07-05,11.36460000
2016-07-06,11.56350000
2016-07-07,11.44440000
2016-07-08,11.52210000
2016-07-11,11.20530000
2016-07-12,11.02700000
2016-07-13,10.92710000
2016-07-14,10.70790000
2016-07-15,10.71210000
2016-07-18,10.76530000
2016-07-19,10.73040000
2016-07-20,10.71390000
2016-07-21,10.70980000
2016-07-22,10.70670000
2016-07-25,10.72070000
2016-07-26,10.89400000
2016-07-27,10.73020000
2016-07-28,10.77290000
2016-07-29,10.85810000
2016-08-01,10.81740000
2016-08-02,10.89540000
2016-08-03,11.05230000
2016-08-04,11.02330000
2016-08-05,10.97960000
2016-08-08,10.82300000
2016-08-09,10.81190000
2016-08-10,10.81910000
2016-08-11,10.85330000
2016-08-12,10.84810000
2016-08-15,10.87950000
2016-08-16,10.93140000
2016-08-17,11.03630000
2016-08-18,11.06580000
2016-08-19,11.17900000
2016-08-22,11.16890000
2016-08-23,11.15330000
2016-08-24,11.19930000
2016-08-25,11.10910000
2016-08-26,11.10050000
2016-08-29,10.98300000
2016-08-30,10.89060000
2016-08-31,10.81350000
2016-09-01,10.81710000
2016-09-02,10.78230000
2016-09-05,10.71120000
2016-09-06,10.69210000
2016-09-07,10.72350000
2016-09-08,10.72190000
2016-09-09,10.73960000
2016-09-12,10.94890000
2016-09-13,10.98830000
2016-09-14,10.94860000
2016-09-15,11.02700000
2016-09-16,11.05060000
2016-09-19,11.00010000
2016-09-20,10.99270000
2016-09-21,11.02850000
2016-09-22,10.94010000
2016-09-23,10.93420000
2016-09-26,11.01680000
2016-09-27,10.95530000
2016-09-28,10.90730000
2016-09-29,10.84640000
2016-09-30,10.87420000
2016-10-03,10.86220000
2016-10-04,10.81360000
2016-10-05,10.81120000
2016-10-06,10.76910000
2016-10-07,10.76780000
2016-10-10,10.75140000
2016-10-11,10.83650000
2016-10-12,10.82670000
2016-10-13,10.93420000
2016-10-14,10.85800000
2016-10-17,10.94860000
2016-10-18,10.82690000
2016-10-19,10.87210000
2016-10-20,10.87700000
2016-10-21,10.96520000
2016-10-24,10.89500000
2016-10-25,10.82820000
2016-10-26,10.88810000
2016-10-27,10.92020000
2016-10-28,10.86890000
2016-10-31,10.91490000
2016-11-01,10.88900000
2016-11-02,11.06670000
2016-11-03,11.08130000
2016-11-04,11.11180000
2016-11-07,10.95920000
2016-11-08,10.84000000
2016-11-09,11.09350000
2016-11-10,10.86670000
2016-11-11,10.95380000
2016-11-14,10.87120000
2016-11-15,10.76920000
2016-11-16,10.73230000
2016-11-17,10.76820000
2016-11-18,10.68950000
2016-11-21,10.64160000
2016-11-22,10.59030000
2016-11-23,10.57440000
2016-11-24,10.43680000
2016-11-25,10.41540000
2016-11-28,10.42830000
2016-11-29,10.38990000
2016-11-30,10.35330000
2016-12-01,10.22850000
2016-12-02,10.29170000
2016-12-05,10.25570000
2016-12-06,10.26500000
2016-12-07,10.19090000
2016-12-08,10.19520000
2016-12-09,10.18270000
2016-12-12,10.08830000
2016-12-13,10.12420000
2016-12-14,10.14050000
2016-12-15,10.04490000
2016-12-16,10.04640000
2016-12-19,10.13960000
2016-12-20,10.11560000
2016-12-21,10.16980000
2016-12-22,10.23290000
2016-12-23,10.25770000
2016-12-27,10.28450000
2016-12-28,10.31110000
2016-12-29,10.35930000
2016-12-30,10.28650000
2017-01-02,10.28190000
2017-01-03,10.21120000
2017-01-04,10.20790000
2017-01-05,10.22050000
2017-01-06,10.26920000
2017-01-09,10.32390000
2017-01-10,10.33120000
2017-01-11,10.32090000
2017-01-12,10.31640000
2017-01-13,10.26540000
2017-01-16,10.36850000
2017-01-17,10.31220000
2017-01-18,10.32130000
2017-01-19,10.27490000
2017-01-20,10.21200000
2017-01-23,10.28320000
2017-01-24,10.27710000
2017-01-25,10.27550000
2017-01-26,10.19720000
2017-01-27,10.19400000
2017-01-30,10.28470000
2017-01-31,10.20800000
2017-02-01,10.20740000
2017-02-02,10.16660000
2017-02-03,10.14280000
2017-02-06,10.11970000
2017-02-07,10.20940000
2017-02-08,10.22400000
2017-02-09,10.18980000
2017-02-10,10.13310000
2017-02-13,10.11840000
2017-02-14,10.02770000
2017-02-15,9.97390000
2017-02-16,10.03510000
2017-02-17,10.19950000
2017-02-20,10.14360000
2017-02-21,10.09180000
2017-02-22,10.11260000
2017-02-23,10.06110000
2017-02-24,10.06560000
2017-02-27,10.09550000
2017-02-28,10.05000000
2017-03-01,10.05450000
2017-03-02,10.01570000
2017-03-03,10.08570000
2017-03-06,10.14320000
2017-03-07,10.07970000
2017-03-08,10.08170000
2017-03-09,10.10620000
2017-03-10,10.01700000
2017-03-13,9.99560000
2017-03-14,10.00960000
2017-03-15,9.99660000
2017-03-16,9.94780000
