instrument_code,market_group,provider_name,base_currency,quote_currency,price_value,change_value,change_rate,observed_at
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1194.35000000,,,2016-03-15T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1326.80000000,,,2016-03-15T00:00:00Z
JPY_KRW,FX,BACKFILL_FRANKFURTER,JPY,KRW,10.58390000,,,2016-03-15T00:00:00Z
XAU_USD,METAL,BACKFILL_YAHOO_FINANCE,XAU,USD,1230.40002441,,,2016-03-15T00:00:00Z
XAU_KRW,METAL,BACKFILL_DERIVED,XAU,KRW,1469528.26915408,,,2016-03-15T00:00:00Z
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1194.85000000,0.50000000,0.041864,2016-03-16T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1321.98000000,-4.82000000,-0.363280,2016-03-16T00:00:00Z
JPY_KRW,FX,BACKFILL_FRANKFURTER,JPY,KRW,10.51860000,-0.06530000,-0.616975,2016-03-16T00:00:00Z
XAU_USD,METAL,BACKFILL_YAHOO_FINANCE,XAU,USD,1229.30004883,-1.09997558,-0.089400,2016-03-16T00:00:00Z
XAU_KRW,METAL,BACKFILL_DERIVED,XAU,KRW,1468829.16334453,-699.10580955,-0.047573,2016-03-16T00:00:00Z
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1160.68000000,-34.17000000,-2.859773,2016-03-17T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1312.85000000,-9.13000000,-0.690631,2016-03-17T00:00:00Z
JPY_KRW,FX,BACKFILL_FRANKFURTER,JPY,KRW,10.39630000,-0.12230000,-1.162702,2016-03-17T00:00:00Z
XAU_USD,METAL,BACKFILL_YAHOO_FINANCE,XAU,USD,1264.50000000,35.19995117,2.863414,2016-03-17T00:00:00Z
XAU_KRW,METAL,BACKFILL_DERIVED,XAU,KRW,1467679.86000000,-1149.30334453,-0.078246,2016-03-17T00:00:00Z
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1158.00000000,-2.68000000,-0.230899,2016-03-18T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1306.11000000,-6.74000000,-0.513387,2016-03-18T00:00:00Z
JPY_KRW,FX,BACKFILL_FRANKFURTER,JPY,KRW,10.38330000,-0.01300000,-0.125044,2016-03-18T00:00:00Z
XAU_USD,METAL,BACKFILL_YAHOO_FINANCE,XAU,USD,1253.80004883,-10.69995117,-0.846180,2016-03-18T00:00:00Z
XAU_KRW,METAL,BACKFILL_DERIVED,XAU,KRW,1451900.45654514,-15779.40345486,-1.075126,2016-03-18T00:00:00Z
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1160.54000000,2.54000000,0.219344,2016-03-21T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1308.05000000,1.94000000,0.148533,2016-03-21T00:00:00Z
JPY_KRW,FX,BACKFILL_FRANKFURTER,JPY,KRW,10.38630000,0.00300000,0.028893,2016-03-21T00:00:00Z
XAU_USD,METAL,BACKFILL_YAHOO_FINANCE,XAU,USD,1243.80004883,-10.00000000,-0.797575,2016-03-21T00:00:00Z
XAU_KRW,METAL,BACKFILL_DERIVED,XAU,KRW,1443479.70866917,-8420.74787597,-0.579981,2016-03-21T00:00:00Z
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1161.30000000,0.76000000,0.065487,2016-03-22T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1302.05000000,-6.00000000,-0.458698,2016-03-22T00:00:00Z
JPY_KRW,FX,BACKFILL_FRANKFURTER,JPY,KRW,10.40560000,0.01930000,0.185822,2016-03-22T00:00:00Z
XAU_USD,METAL,BACKFILL_YAHOO_FINANCE,XAU,USD,1248.19995117,4.39990234,0.353747,2016-03-22T00:00:00Z
XAU_KRW,METAL,BACKFILL_DERIVED,XAU,KRW,1449534.60329372,6054.89462455,0.419465,2016-03-22T00:00:00Z
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1164.25000000,2.95000000,0.254026,2016-03-23T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1300.58000000,-1.47000000,-0.112899,2016-03-23T00:00:00Z
JPY_KRW,FX,BACKFILL_FRANKFURTER,JPY,KRW,10.32120000,-0.08440000,-0.811102,2016-03-23T00:00:00Z
XAU_USD,METAL,BACKFILL_YAHOO_FINANCE,XAU,USD,1223.69995117,-24.50000000,-1.962827,2016-03-23T00:00:00Z
XAU_KRW,METAL,BACKFILL_DERIVED,XAU,KRW,1424692.66814967,-24841.93514405,-1.713787,2016-03-23T00:00:00Z
USD_KRW,FX,BACKFILL_FRANKFURTER,USD,KRW,1167.48000000,3.23000000,0.277432,2016-03-24T00:00:00Z
EUR_KRW,FX,BACKFILL_FRANKFURTER,EUR,KRW,1302.21000000,1.63000000,0.125329,2016-03-24T00:00:00Z
