observed_at,price_value
2016-03-15,1194.35000000
2016-03-16,1194.85000000
2016-03-17,1160.68000000
2016-03-18,1158.00000000
2016-03-21,1160.54000000
2016-03-22,1161.30000000
2016-03-23,1164.25000000
2016-03-24,1167.48000000
2016-03-29,1167.29000000
2016-03-30,1142.41000000
2016-03-31,1137.36000000
2016-04-01,1150.96000000
2016-04-04,1149.55000000
2016-04-05,1158.77000000
2016-04-06,1162.98000000
2016-04-07,1159.89000000
2016-04-08,1153.24000000
2016-04-11,1147.10000000
2016-04-12,1143.28000000
2016-04-13,1149.00000000
2016-04-14,1154.04000000
2016-04-15,1147.75000000
2016-04-18,1149.50000000
2016-04-19,1126.05000000
2016-04-20,1129.31000000
2016-04-21,1132.86000000
2016-04-22,1143.04000000
2016-04-25,1146.54000000
2016-04-26,1151.01000000
2016-04-27,1149.72000000
2016-04-28,1140.64000000
2016-04-29,1141.39000000
2016-05-02,1137.95000000
2016-05-03,1144.22000000
2016-05-04,1163.09000000
2016-05-05,1166.14000000
2016-05-06,1172.35000000
2016-05-09,1173.64000000
2016-05-10,1173.62000000
2016-05-11,1168.19000000
2016-05-12,1169.17000000
2016-05-13,1172.81000000
2016-05-16,1179.71000000
2016-05-17,1176.59000000
2016-05-18,1188.32000000
2016-05-19,1190.94000000
2016-05-20,1187.29000000
2016-05-23,1185.72000000
2016-05-24,1190.29000000
2016-05-25,1181.73000000
2016-05-26,1180.04000000
2016-05-27,1179.24000000
2016-05-30,1190.94000000
2016-05-31,1188.91000000
2016-06-01,1191.63000000
2016-06-02,1188.19000000
2016-06-03,1185.59000000
2016-06-06,1165.74000000
2016-06-07,1155.87000000
2016-06-08,1152.56000000
2016-06-09,1160.68000000
2016-06-10,1164.31000000
2016-06-13,1173.79000000
2016-06-14,1179.74000000
2016-06-15,1171.93000000
2016-06-16,1177.55000000
2016-06-17,1171.33000000
2016-06-20,1158.04000000
2016-06-21,1152.60000000
2016-06-22,1150.07000000
2016-06-23,1145.38000000
2016-06-24,1171.96000000
2016-06-27,1184.68000000
2016-06-28,1168.78000000
2016-06-29,1157.03000000
2016-06-30,1151.58000000
2016-07-01,1145.72000000
2016-07-04,1148.17000000
2016-07-05,1157.26000000
2016-07-06,1164.60000000
2016-07-07,1155.80000000
2016-07-08,1157.10000000
2016-07-11,1148.32000000
2016-07-12,1146.14000000
2016-07-13,1143.05000000
2016-07-14,1131.35000000
2016-07-15,1132.33000000
2016-07-18,1137.79000000
2016-07-19,1139.65000000
2016-07-20,1141.43000000
2016-07-21,1138.07000000
2016-07-22,1136.00000000
2016-07-25,1138.65000000
2016-07-26,1135.96000000
2016-07-27,1134.72000000
2016-07-28,1128.20000000
2016-07-29,1121.96000000
2016-08-01,1107.32000000
2016-08-02,1106.96000000
2016-08-03,1117.27000000
2016-08-04,1115.19000000
2016-08-05,1109.47000000
2016-08-08,1108.85000000
2016-08-09,1105.49000000
2016-08-10,1094.00000000
2016-08-11,1100.13000000
2016-08-12,1106.10000000
2016-08-15,1099.34000000
2016-08-16,1091.11000000
2016-08-17,1111.17000000
2016-08-18,1110.39000000
2016-08-19,1120.56000000
2016-08-22,1123.51000000
2016-08-23,1116.22000000
2016-08-24,1122.61000000
2016-08-25,1116.32000000
2016-08-26,1114.28000000
2016-08-29,1123.28000000
2016-08-30,1114.32000000
2016-08-31,1117.19000000
2016-09-01,1121.79000000
2016-09-02,1115.80000000
2016-09-05,1106.45000000
2016-09-06,1105.62000000
2016-09-07,1090.10000000
2016-09-08,1089.65000000
2016-09-09,1104.17000000
2016-09-12,1115.56000000
2016-09-13,1123.35000000
2016-09-14,1125.99000000
2016-09-15,1126.61000000
2016-09-16,1125.64000000
2016-09-19,1119.71000000
2016-09-20,1119.81000000
2016-09-21,1112.65000000
2016-09-22,1101.90000000
2016-09-23,1102.00000000
2016-09-26,1106.47000000
