observed_at,price_value
2016-03-15,1469528.26915408
2016-03-16,1468829.16334453
2016-03-17,1467679.86000000
2016-03-18,1451900.45654514
2016-03-21,1443479.70866917
2016-03-22,1449534.60329372
2016-03-23,1424692.66814967
2016-03-24,1425960.10049819
2016-03-28,1424208.88049819
2016-03-29,1442303.49550645
2016-03-30,1401622.85688623
2016-03-31,1403729.65646271
2016-04-01,1406703.25579862
2016-04-04,1400151.90000000
2016-04-05,1423433.09628558
2016-04-06,1421743.05000000
2016-04-07,1433855.96136257
2016-04-08,1432900.70000000
2016-04-11,1441560.51398711
2016-04-12,1439846.85990746
2016-04-13,1432573.25610567
2016-04-14,1413699.00000000
2016-04-15,1415290.49698342
2016-04-18,1418023.17194071
2016-04-19,1410940.65000000
2016-04-20,1415251.23685579
2016-04-21,1414942.14000000
2016-04-22,1404453.19218536
2016-04-25,1420448.43398704
2016-04-26,1429784.56579618
2016-04-27,1436230.16785917
2016-04-28,1443479.92000000
2016-04-29,1471479.93226593
2016-05-02,1473303.80943390
2016-05-03,1476844.69812774
2016-05-04,1480962.55379368
2016-05-05,1482630.42446548
2016-05-06,1515731.34361706
2016-05-09,1485358.75535145
2016-05-10,1483338.34664806
2016-05-11,1488974.94548448
2016-05-12,1485196.70809057
2016-05-13,1491697.06762829
2016-05-16,1502242.74279672
2016-05-17,1501564.10054711
2016-05-18,1513563.12597433
2016-05-19,1493676.88984640
2016-05-20,1486962.02498175
2016-05-23,1483454.26305657
2016-05-24,1462747.41005498
2016-05-25,1445846.65500000
2016-05-26,1439766.77519522
2016-05-27,1431361.56958229
2016-05-31,1444287.92605448
2016-06-01,1444136.42608769
2016-06-02,1437472.32001932
2016-06-03,1470250.13005975
2016-06-06,1450879.97554429
2016-06-07,1438364.65621479
2016-06-08,1451995.14427950
2016-06-09,1474295.67932400
2016-06-10,1482632.38242081
2016-06-13,1507615.90465221
2016-06-14,1516673.71520255
2016-06-15,1506867.65122534
2016-06-16,1526222.52625600
2016-06-17,1513944.02500000
2016-06-20,1493871.60000000
2016-06-21,1464378.30000000
2016-06-22,1458288.76000000
2016-06-23,1444553.20007109
2016-06-24,1546987.20000000
2016-06-27,1566739.30000000
2016-06-28,1537296.39107153
2016-06-29,1531792.04524310
2016-06-30,1518243.10011007
2016-07-01,1531483.86805449
2016-07-05,1569707.49224872
2016-07-06,1589562.56842789
2016-07-07,1572003.55178692
2016-07-08,1569721.83175519
2016-07-11,1555973.60000000
2016-07-12,1529065.34602272
2016-07-13,1534430.34790185
2016-07-14,1506166.31024382
2016-07-15,1502035.74500000
2016-07-18,1511440.26377345
2016-07-19,1517443.97500000
2016-07-20,1505317.93973603
2016-07-21,1514202.13500000
2016-07-22,1503041.57227024
2016-07-25,1502221.00060028
2016-07-26,1500262.31653107
2016-07-27,1505319.52430148
2016-07-28,1503100.91509001
2016-07-29,1513524.04000000
2016-08-01,1496432.27502968
2016-08-02,1510336.25102089
2016-08-03,1515129.81972744
2016-08-04,1515320.22645473
2016-08-05,1482695.73508216
2016-08-08,1478540.61706703
2016-08-09,1480251.11000000
2016-08-10,1470664.25342002
2016-08-11,1476924.52500000
2016-08-12,1477528.43401086
2016-08-15,1473445.45568077
2016-08-16,1473544.05500000
2016-08-17,1491967.90474157
2016-08-18,1500358.91377966
2016-08-19,1501998.65135287
2016-08-22,1502919.27213901
2016-08-23,1496404.50475307
2016-08-24,1486784.71140291
2016-08-25,1473654.00475063
2016-08-26,1472521.02000000
2016-08-29,1485987.13941926
2016-08-30,1461653.48958775
2016-08-31,1460055.63827061
2016-09-01,1472012.78322299
2016-09-02,1475199.15276332
2016-09-06,1491923.65498818
2016-09-07,1465421.48322958
2016-09-08,1456644.17320761
2016-09-09,1468656.49004721
2016-09-12,1473654.76000000
2016-09-13,1481698.65000000
2016-09-14,1487995.78500000
2016-09-15,1479802.23500000
2016-09-16,1469860.76696500
2016-09-19,1470739.08500000
2016-09-20,1471094.34231968
2016-09-21,1476375.31215979
2016-09-22,1476986.78689738
2016-09-23,1473594.34618934
2016-09-26,1482337.80497107
2016-09-27,1456700.06181805
2016-09-28,1447830.42278607
2016-09-29,1454900.87224891
2016-09-30,1447046.52580285
2016-10-03,1441352.99000000
2016-10-04,1404782.62217005
2016-10-05,1411014.24554234
2016-10-06,1395864.18053676
2016-10-07,1393560.11423741
2016-10-11,1408184.05000000
2016-10-12,1407387.38454070
2016-10-13,1423345.70000000
2016-10-14,1419235.97035372
2016-10-17,1429865.49982447
2016-10-18,1420190.39100309
2016-10-19,1424929.44243318
2016-10-20,1426242.58049164
2016-10-21,1440366.36577419
2016-10-24,1430237.22000000
2016-10-25,1439701.79463041
2016-10-26,1436623.13546356
2016-10-27,1449450.62890527
2016-10-28,1460957.70000000
2016-10-31,1457698.46000000
2016-11-01,1468348.44386255
2016-11-02,1494025.29182587
2016-11-03,1489979.98106788
2016-11-04,1491405.34487763
2016-11-07,1461442.09682587
2016-11-08,1446391.41772610
2016-11-09,1467091.42985942
2016-11-10,1469207.53500000
2016-11-14,1432296.57472925
2016-11-15,1427122.80000000
2016-11-16,1438498.21670177
2016-11-17,1431565.03500000
2016-11-18,1421389.36000000
2016-11-21,1423795.93926748
2016-11-22,1422246.84000000
2016-11-23,1399963.07426137
2016-11-25,1387130.14851098
2016-11-28,1398383.48332997
2016-11-29,1394321.41165173
2016-11-30,1373219.66927222
2016-12-01,1363382.65052016
2016-12-02,1377346.43238879
2016-12-05,1376151.06000000
2016-12-06,1365368.05945543
2016-12-07,1366160.75000000
2016-12-08,1358746.15271702
2016-12-09,1358248.72259656
2016-12-12,1359095.98500000
2016-12-13,1349533.40002955
2016-12-14,1354087.46993627
2016-12-15,1337717.47191873
2016-12-16,1348055.27798074
2016-12-19,1355814.99500000
2016-12-20,1352085.92500000
2016-12-21,1350103.55286374
2016-12-22,1358804.34677960
2016-12-23,1362694.43938720
2016-12-27,1373016.85695051
2016-12-28,1382456.83761714
2016-12-29,1398619.57352292
2016-12-30,1384841.50000000
2017-01-03,1400556.41346189
2017-01-04,1395954.88257061
2017-01-05,1405152.40883810
2017-01-06,1395967.30907719
2017-01-09,1425158.86500000
2017-01-10,1422200.45735615
2017-01-11,1434983.00270263
2017-01-12,1409402.89069591
2017-01-13,1403114.91531958
2017-01-17,1416658.32000000
2017-01-18,1419159.13720923
2017-01-19,1413771.56273692
2017-01-20,1416642.23343971
2017-01-23,1419302.25000000
2017-01-24,1410144.79289281
2017-01-25,1394734.82688207
2017-01-26,1387539.85500000
2017-01-27,1394841.25234242
2017-01-30,1405649.20247582
2017-01-31,1398809.43974835
2017-02-01,1394276.37176984
2017-02-02,1389410.50923858
