observed_at,price_value
2016-03-15,1230.40002441
2016-03-16,1229.30004883
2016-03-17,1264.50000000
2016-03-18,1253.80004883
2016-03-21,1243.80004883
2016-03-22,1248.19995117
2016-03-23,1223.69995117
2016-03-24,1221.40002441
2016-03-28,1219.90002441
2016-03-29,1235.59997559
2016-03-30,1226.90002441
2016-03-31,1234.19995117
2016-04-01,1222.19995117
2016-04-04,1218.00000000
2016-04-05,1228.40002441
2016-04-06,1222.50000000
2016-04-07,1236.19995117
2016-04-08,1242.50000000
2016-04-11,1256.69995117
2016-04-12,1259.40002441
2016-04-13,1246.80004883
2016-04-14,1225.00000000
2016-04-15,1233.09997559
2016-04-18,1233.59997559
2016-04-19,1253.00000000
2016-04-20,1253.19995117
2016-04-21,1249.00000000
2016-04-22,1228.69995117
2016-04-25,1238.90002441
2016-04-26,1242.19995117
2016-04-27,1249.19995117
2016-04-28,1265.50000000
2016-04-29,1289.19995117
2016-05-02,1294.69995117
2016-05-03,1290.69995117
2016-05-04,1273.30004883
2016-05-05,1271.40002441
2016-05-06,1292.90002441
2016-05-09,1265.59997559
2016-05-10,1263.90002441
2016-05-11,1274.59997559
2016-05-12,1270.30004883
2016-05-13,1271.90002441
2016-05-16,1273.40002441
2016-05-17,1276.19995117
2016-05-18,1273.69995117
2016-05-19,1254.19995117
2016-05-20,1252.40002441
2016-05-23,1251.09997559
2016-05-24,1228.90002441
2016-05-25,1223.50000000
2016-05-26,1220.09997559
2016-05-27,1213.80004883
2016-05-31,1214.80004883
2016-06-01,1211.90002441
2016-06-02,1209.80004883
2016-06-03,1240.09997559
2016-06-06,1244.59997559
2016-06-07,1244.40002441
2016-06-08,1259.80004883
2016-06-09,1270.19995117
2016-06-10,1273.40002441
2016-06-13,1284.40002441
2016-06-14,1285.59997559
2016-06-15,1285.80004883
2016-06-16,1296.09997559
2016-06-17,1292.50000000
2016-06-20,1290.00000000
2016-06-21,1270.50000000
2016-06-22,1268.00000000
2016-06-23,1261.19995117
2016-06-24,1320.00000000
2016-06-27,1322.50000000
2016-06-28,1315.30004883
2016-06-29,1323.90002441
2016-06-30,1318.40002441
2016-07-01,1336.69995117
2016-07-05,1356.40002441
2016-07-06,1364.90002441
2016-07-07,1360.09997559
2016-07-08,1356.59997559
2016-07-11,1355.00000000
2016-07-12,1334.09997559
2016-07-13,1342.40002441
2016-07-14,1331.30004883
2016-07-15,1326.50000000
2016-07-18,1328.40002441
2016-07-19,1331.50000000
2016-07-20,1318.80004883
2016-07-21,1330.50000000
2016-07-22,1323.09997559
2016-07-25,1319.30004883
2016-07-26,1320.69995117
2016-07-27,1326.59997559
2016-07-28,1332.30004883
2016-07-29,1349.00000000
2016-08-01,1351.40002441
